발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2021-01-05,구주,부산,KLAIPEDA,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,SOUTHAMPTON,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,BELFAST,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,GRANGEMOUTH,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,GREENOCK,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,SOUTH SHIELDS,dry,20 feet,일반화물,USD,5730.0
2021-01-05,구주,부산,TILBURY,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,DUBLIN,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,CORK,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,RIGA,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,KRISTIANSAND,dry,20 feet,일반화물,USD,4480.0
2021-01-05,구주,부산,LARVIK,dry,20 feet,일반화물,USD,4480.0
2021-01-05,구주,부산,OSLO,dry,20 feet,일반화물,USD,4480.0
2021-01-05,구주,부산,STAVANGER,dry,20 feet,일반화물,USD,5080.0
2021-01-05,구주,부산,ORKANGER,dry,20 feet,일반화물,USD,5257.0
2021-01-05,구주,부산,MOSS,dry,20 feet,일반화물,USD,4605.0
2021-01-05,구주,부산,ROTTERDAM,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,GDANSK,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,GDYNIA,dry,20 feet,일반화물,USD,4480.0
2021-01-05,구주,부산,KALININGRAD,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,SAINT PETERSBURG(EX LENINGRAD),dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,GOTEBORG,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,GAVLE,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,HELSINGBORG,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,NORRKOPING,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,STOCKHOLM,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,PORTBURY,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,LIVERPOOL,dry,20 feet,일반화물,USD,5480.0
2021-01-05,구주,부산,TEESPORT,dry,20 feet,일반화물,USD,5455.0
2021-01-05,구주,부산,ROUEN,dry,20 feet,일반화물,USD,4440.0
2021-01-05,구주,부산,FOS-SUR-MER,dry,20 feet,일반화물,USD,3525.0
2021-01-05,구주,부산,ANTWERPEN,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,ZEEBRUGGE,dry,20 feet,일반화물,USD,4480.0
2021-01-05,구주,부산,FELIXSTOWE,dry,20 feet,일반화물,USD,5180.0
2021-01-05,구주,부산,HAMBURG,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,WILHELMSHAVEN,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,AARHUS,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,KOBENHAVN,dry,20 feet,일반화물,USD,4430.0
2021-01-05,구주,부산,FREDERICIA,dry,20 feet,일반화물,USD,4430.0
2021-01-05,구주,부산,BREMERHAVEN,dry,20 feet,일반화물,USD,4380.0
2021-01-05,구주,부산,OULU (ULEABORG),dry,20 feet,일반화물,USD,4815.0
2021-01-05,구주,부산,HELSINKI (HELSINGFORS),dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,KOTKA,dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,RAUMA (RAUMO),dry,20 feet,일반화물,USD,4455.0
2021-01-05,구주,부산,BREST,dry,20 feet,일반화물,USD,4860.0
2021-01-05,구주,부산,LE HAVRE,dry,20 feet,일반화물,USD,4380.0
