발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,동남아,부산,SUBIC BAY,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,"KOTA KINABALU, SABAH",dry,20 feet,일반화물,USD,900.0
2020-12-01,동남아,부산,"BINTULU, SARAWAK",dry,20 feet,일반화물,USD,900.0
2020-12-01,동남아,부산,BANGKOK,dry,20 feet,일반화물,USD,700.0
2020-12-01,동남아,부산,TAIPEI,dry,20 feet,일반화물,USD,350.0
2020-12-01,동남아,부산,TAOYUAN,dry,20 feet,일반화물,USD,400.0
2020-12-01,동남아,부산,KEELUNG (CHILUNG),dry,20 feet,일반화물,USD,450.0
2020-12-01,동남아,부산,NORTHPORT/PT KLANG,dry,20 feet,일반화물,USD,750.0
2020-12-01,동남아,부산,LAEM CHABANG,dry,20 feet,일반화물,USD,650.0
2020-12-01,동남아,부산,DA NANG,dry,20 feet,일반화물,USD,650.0
2020-12-01,동남아,부산,TANJUNG PELEPAS,dry,20 feet,일반화물,USD,750.0
2020-12-01,동남아,부산,SINGAPORE,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,HONG KONG,dry,20 feet,일반화물,USD,300.0
2020-12-01,동남아,부산,KAOHSIUNG,dry,20 feet,일반화물,USD,350.0
2020-12-01,동남아,부산,BATANGAS/LUZON,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,HAIPHONG,dry,20 feet,일반화물,USD,400.0
2020-12-01,동남아,부산,"PASIR GUDANG, JOHOR",dry,20 feet,일반화물,USD,750.0
2020-12-01,동남아,부산,TAICHUNG,dry,20 feet,일반화물,USD,400.0
2020-12-01,동남아,부산,MUARA,dry,20 feet,일반화물,USD,900.0
2020-12-01,동남아,부산,GENERAL SANTOS,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,MANILA SOUTH HARBOUR,dry,20 feet,일반화물,USD,150.0
2020-12-01,동남아,부산,CEBU,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,MANILA NORTH HARBOUR,dry,20 feet,일반화물,USD,150.0
2020-12-01,동남아,부산,PORTKELANG,dry,20 feet,일반화물,USD,750.0
2020-12-01,동남아,부산,"CAGAYAN DE ORO, MINDANAO",dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,HO CHI MINH CITY,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,SURABAYA,dry,20 feet,일반화물,USD,600.0
2020-12-01,동남아,부산,"DAVAO, MINDANAO",dry,20 feet,일반화물,USD,600.0
