발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2021-01-05,북미,부산,"HOUSTON, TX",dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,MONTREAL,dry,20 feet,일반화물,USD,4520.0
2021-01-05,북미,부산,"CHARLESTON, SC",dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,NEWYORK,dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,"NORFOLK, VA",dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,"MIAMI, FL",dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,MOBILE,dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,TAMPA,dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,NEWORLEANS,dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,"SAVANNAH, GA",dry,20 feet,일반화물,USD,5040.0
2021-01-05,북미,부산,LOSANGELES,dry,20 feet,일반화물,USD,3880.0
2021-01-05,북미,부산,LONGBEACH,dry,20 feet,일반화물,USD,3880.0
2021-01-05,북미,부산,"OAKLAND, CA",dry,20 feet,일반화물,USD,3880.0
2021-01-05,북미,부산,SEATTLE,dry,20 feet,일반화물,USD,3880.0
2021-01-05,북미,부산,VANCOUVER,dry,20 feet,일반화물,USD,3880.0
2021-01-05,북미,부산,BALTIMORE,dry,20 feet,일반화물,USD,5040.0
2021-01-08,북미,부산,LONGBEACH,dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,LOSANGELES,dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,"OAKLAND, CA",dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,VANCOUVER,dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,SEATTLE,dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,TACOMA,dry,20 feet,일반화물,USD,2948.0
2021-01-08,북미,부산,"SAVANNAH, GA",dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,"JACKSONVILLE, FL",dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,"CHARLESTON, SC",dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,"NORFOLK, VA",dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,NEWYORK,dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,"WILMINGTON, NC",dry,20 feet,일반화물,USD,3550.0
2021-01-08,북미,부산,PRINCE RUPERT,dry,20 feet,일반화물,USD,2948.0
2021-01-11,북미,부산,SEATTLE,dry,20 feet,일반화물,USD,3880.0
2021-01-11,북미,부산,MONTREAL,dry,20 feet,일반화물,USD,4520.0
2021-01-11,북미,부산,VANCOUVER,dry,20 feet,일반화물,USD,3880.0
2021-01-11,북미,부산,"OAKLAND, CA",dry,20 feet,일반화물,USD,3880.0
2021-01-11,북미,부산,LONGBEACH,dry,20 feet,일반화물,USD,3880.0
2021-01-11,북미,부산,LOSANGELES,dry,20 feet,일반화물,USD,3880.0
2021-01-11,북미,부산,NEWORLEANS,dry,20 feet,일반화물,USD,5040.0
2021-01-11,북미,부산,TAMPA,dry,20 feet,일반화물,USD,5040.0
