발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,서남아,부산,KARACHI,dry,20 feet,일반화물,USD,2200.0
2020-12-01,서남아,부산,KARACHI,dry,20 feet,일반화물,USD,1500.0
2020-12-01,서남아,부산,MUNDRA,dry,20 feet,일반화물,USD,1400.0
2020-12-01,서남아,부산,CHITTAGONG,dry,20 feet,일반화물,USD,1700.0
2020-12-01,서남아,부산,COLOMBO,dry,20 feet,일반화물,USD,1700.0
2020-12-01,서남아,부산,TUTICORIN,dry,20 feet,일반화물,USD,1600.0
2020-12-01,서남아,부산,INDIA KATTUPALLI,dry,20 feet,일반화물,USD,2200.0
2020-12-01,서남아,부산,COCHIN,dry,20 feet,일반화물,USD,2200.0
2020-12-01,서남아,부산,KOLKATA (EX CALCUTTA),dry,20 feet,일반화물,USD,2400.0
2020-12-01,서남아,부산,VISAKHAPATNAM,dry,20 feet,일반화물,USD,2400.0
2020-12-01,서남아,부산,JAWAHARLAL NEHRU (NHAVA SHEVA),dry,20 feet,일반화물,USD,2100.0
2020-12-01,서남아,부산,CHENNAI (EX MADRAS),dry,20 feet,일반화물,USD,2100.0
2020-12-01,서남아,부산,CHENNAI (EX MADRAS),dry,20 feet,일반화물,USD,1400.0
2020-12-01,서남아,부산,MUNDRA,dry,20 feet,일반화물,USD,2100.0
2020-12-01,서남아,부산,CHITTAGONG,dry,20 feet,일반화물,USD,2500.0
2020-12-01,서남아,부산,COCHIN,dry,20 feet,일반화물,USD,1600.0
2020-12-01,서남아,부산,INDIA KATTUPALLI,dry,20 feet,일반화물,USD,1600.0
2020-12-01,서남아,부산,JAWAHARLAL NEHRU (NHAVA SHEVA),dry,20 feet,일반화물,USD,1500.0
2020-12-01,서남아,부산,VISAKHAPATNAM,dry,20 feet,일반화물,USD,1500.0
2020-12-01,서남아,부산,COLOMBO,dry,20 feet,일반화물,USD,2500.0
2020-12-01,서남아,부산,TUTICORIN,dry,20 feet,일반화물,USD,2400.0
2020-12-01,서남아,부산,KOLKATA (EX CALCUTTA),dry,20 feet,일반화물,USD,1700.0
2021-01-01,서남아,부산,JAWAHARLAL NEHRU (NHAVA SHEVA),dry,20 feet,일반화물,USD,2600.0
