발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,2200.0
2020-12-01,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,2200.0
2020-12-01,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,2200.0
2020-12-01,아프리카,부산,MOMBASA,dry,20 feet,일반화물,USD,2300.0
2020-12-01,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2350.0
2020-12-01,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,2300.0
2020-12-01,아프리카,부산,MOMBASA,dry,20 feet,일반화물,USD,2300.0
2020-12-01,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2350.0
2021-01-01,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,2700.0
2021-01-01,아프리카,부산,MOMBASA,dry,20 feet,일반화물,USD,2300.0
2021-01-01,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,2600.0
2021-01-01,아프리카,부산,MOMBASA,dry,20 feet,일반화물,USD,2600.0
2021-01-01,아프리카,부산,TEMA,dry,20 feet,일반화물,USD,4500.0
2021-01-01,아프리카,부산,TINCAN/LAGOS,dry,20 feet,일반화물,USD,5200.0
2021-01-01,아프리카,부산,APAPA,dry,20 feet,일반화물,USD,5200.0
2021-01-01,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,3000.0
2021-01-01,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,2300.0
2021-01-01,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2400.0
2021-01-01,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2650.0
2021-01-05,아프리카,부산,SAN-PEDRO,dry,20 feet,일반화물,USD,4650.0
2021-01-05,아프리카,부산,ANNABA (EX BONE),dry,20 feet,일반화물,USD,4250.0
2021-01-05,아프리카,부산,TUNIS,dry,20 feet,일반화물,USD,4525.0
2021-01-05,아프리카,부산,BERBERA,dry,20 feet,일반화물,USD,3300.0
2021-01-05,아프리카,부산,LOME,dry,20 feet,일반화물,USD,4550.0
2021-01-05,아프리카,부산,KISMAYU,dry,20 feet,일반화물,USD,3700.0
2021-01-05,아프리카,부산,DOUALA,dry,20 feet,일반화물,USD,4450.0
2021-01-05,아프리카,부산,SKIKDA (EX PHILIPPEVILLE),dry,20 feet,일반화물,USD,4250.0
2021-01-05,아프리카,부산,MOGADISHU,dry,20 feet,일반화물,USD,3300.0
2021-01-05,아프리카,부산,ALGER (ALGIERS),dry,20 feet,일반화물,USD,4250.0
2021-01-05,아프리카,부산,DJIBOUTI,dry,20 feet,일반화물,USD,2650.0
2021-01-05,아프리카,부산,ORAN,dry,20 feet,일반화물,USD,4250.0
2021-01-05,아프리카,부산,MOMBASA,dry,20 feet,일반화물,USD,2900.0
2021-01-05,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2900.0
2021-01-05,아프리카,부산,TANGA,dry,20 feet,일반화물,USD,3800.0
2021-01-05,아프리카,부산,ZANZIBAR,dry,20 feet,일반화물,USD,4350.0
2021-01-05,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,3350.0
2021-01-05,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,3300.0
2021-01-05,아프리카,부산,PORT SUDAN,dry,20 feet,일반화물,USD,3900.0
2021-01-05,아프리카,부산,LIBREVILLE,dry,20 feet,일반화물,USD,4300.0
2021-01-05,아프리카,부산,BEJAIA (EX BOUGIE),dry,20 feet,일반화물,USD,4250.0
2021-01-05,아프리카,부산,LOBITO,dry,20 feet,일반화물,USD,4300.0
2021-01-05,아프리카,부산,NAMIBE,dry,20 feet,일반화물,USD,4300.0
2021-01-05,아프리카,부산,TAMATAVE (TOAMASINA),dry,20 feet,일반화물,USD,3100.0
2021-01-05,아프리카,부산,AGADIR,dry,20 feet,일반화물,USD,4750.0
2021-01-05,아프리카,부산,ABIDJAN,dry,20 feet,일반화물,USD,4650.0
2021-01-05,아프리카,부산,TEMA,dry,20 feet,일반화물,USD,4550.0
2021-01-05,아프리카,부산,COTONOU,dry,20 feet,일반화물,USD,4650.0
2021-01-05,아프리카,부산,MISURATA,dry,20 feet,일반화물,USD,4525.0
2021-01-05,아프리카,부산,KHOMS,dry,20 feet,일반화물,USD,4525.0
2021-01-05,아프리카,부산,BINGAZI (BENGHAZI),dry,20 feet,일반화물,USD,4525.0
2021-01-05,아프리카,부산,TRIPOLI,dry,20 feet,일반화물,USD,4525.0
2021-01-05,아프리카,부산,POINTE DES GALETS,dry,20 feet,일반화물,USD,3000.0
2021-01-05,아프리카,부산,LONGONI,dry,20 feet,일반화물,USD,3650.0
2021-01-05,아프리카,부산,PORT LOUIS,dry,20 feet,일반화물,USD,2900.0
2021-01-05,아프리카,부산,LUANDA,dry,20 feet,일반화물,USD,4150.0
2021-01-05,아프리카,부산,ANTSIRANANA,dry,20 feet,일반화물,USD,3650.0
2021-01-05,아프리카,부산,MAJUNGA (MAHAJANGA),dry,20 feet,일반화물,USD,3650.0
2021-01-05,아프리카,부산,MAPUTO,dry,20 feet,일반화물,USD,3050.0
2021-01-05,아프리카,부산,BEIRA,dry,20 feet,일반화물,USD,3050.0
2021-01-05,아프리카,부산,BANJUL,dry,20 feet,일반화물,USD,5900.0
2021-01-05,아프리카,부산,NOUADHIBOU,dry,20 feet,일반화물,USD,6000.0
2021-01-05,아프리카,부산,PRAIA,dry,20 feet,일반화물,USD,6100.0
2021-01-05,아프리카,부산,MINDELO,dry,20 feet,일반화물,USD,6100.0
2021-01-05,아프리카,부산,CONAKRY,dry,20 feet,일반화물,USD,4800.0
2021-01-05,아프리카,부산,NOUAKCHOTT,dry,20 feet,일반화물,USD,5500.0
2021-01-05,아프리카,부산,NACALA,dry,20 feet,일반화물,USD,3050.0
2021-01-05,아프리카,부산,TAKORADI,dry,20 feet,일반화물,USD,4500.0
2021-01-05,아프리카,부산,CASABLANCA,dry,20 feet,일반화물,USD,4225.0
2021-01-05,아프리카,부산,FREETOWN,dry,20 feet,일반화물,USD,5000.0
2021-01-05,아프리카,부산,DAKAR,dry,20 feet,일반화물,USD,4800.0
2021-01-05,아프리카,부산,TINCAN/LAGOS,dry,20 feet,일반화물,USD,5700.0
2021-01-05,아프리카,부산,APAPA,dry,20 feet,일반화물,USD,5700.0
2021-01-05,아프리카,부산,ONNE,dry,20 feet,일반화물,USD,5950.0
2021-01-05,아프리카,부산,PORT HARCOURT,dry,20 feet,일반화물,USD,5950.0
2021-01-05,아프리카,부산,MONROVIA,dry,20 feet,일반화물,USD,5000.0
2021-01-11,아프리카,부산,BERBERA,dry,20 feet,일반화물,USD,3300.0
2021-01-11,아프리카,부산,DAKAR,dry,20 feet,일반화물,USD,5300.0
2021-01-11,아프리카,부산,FREETOWN,dry,20 feet,일반화물,USD,5500.0
2021-01-11,아프리카,부산,KISMAYU,dry,20 feet,일반화물,USD,3700.0
2021-01-11,아프리카,부산,PORT HARCOURT,dry,20 feet,일반화물,USD,6450.0
2021-01-11,아프리카,부산,ONNE,dry,20 feet,일반화물,USD,6450.0
2021-01-11,아프리카,부산,APAPA,dry,20 feet,일반화물,USD,6200.0
2021-01-11,아프리카,부산,MAPUTO,dry,20 feet,일반화물,USD,3050.0
2021-01-11,아프리카,부산,TINCAN/LAGOS,dry,20 feet,일반화물,USD,6200.0
2021-01-11,아프리카,부산,MOGADISHU,dry,20 feet,일반화물,USD,3300.0
2021-01-11,아프리카,부산,POINTE DES GALETS,dry,20 feet,일반화물,USD,3000.0
2021-01-11,아프리카,부산,TUNIS,dry,20 feet,일반화물,USD,5575.0
2021-01-11,아프리카,부산,DAR ES SALAAM,dry,20 feet,일반화물,USD,2900.0
2021-01-11,아프리카,부산,TANGA,dry,20 feet,일반화물,USD,3800.0
2021-01-11,아프리카,부산,ZANZIBAR,dry,20 feet,일반화물,USD,4350.0
2021-01-11,아프리카,부산,LONGONI,dry,20 feet,일반화물,USD,3650.0
2021-01-11,아프리카,부산,CAPE TOWN,dry,20 feet,일반화물,USD,3350.0
2021-01-11,아프리카,부산,DURBAN,dry,20 feet,일반화물,USD,3300.0
2021-01-11,아프리카,부산,PORT SUDAN,dry,20 feet,일반화물,USD,3900.0
2021-01-11,아프리카,부산,DJIBOUTI,dry,20 feet,일반화물,USD,2650.0
2021-01-11,아프리카,부산,NACALA,dry,20 feet,일반화물,USD,3050.0
2021-01-11,아프리카,부산,LOME,dry,20 feet,일반화물,USD,5050.0
2021-01-11,아프리카,부산,BEIRA,dry,20 feet,일반화물,USD,3050.0
2021-01-11,아프리카,부산,BEJAIA (EX BOUGIE),dry,20 feet,일반화물,USD,5275.0
2021-01-11,아프리카,부산,NOUAKCHOTT,dry,20 feet,일반화물,USD,6000.0
2021-01-11,아프리카,부산,LUANDA,dry,20 feet,일반화물,USD,4650.0
2021-01-11,아프리카,부산,LOBITO,dry,20 feet,일반화물,USD,4800.0
2021-01-11,아프리카,부산,NAMIBE,dry,20 feet,일반화물,USD,4800.0
2021-01-11,아프리카,부산,COTONOU,dry,20 feet,일반화물,USD,5150.0
2021-01-11,아프리카,부산,PORT LOUIS,dry,20 feet,일반화물,USD,2900.0
2021-01-11,아프리카,부산,SAN-PEDRO,dry,20 feet,일반화물,USD,5150.0
2021-01-11,아프리카,부산,DOUALA,dry,20 feet,일반화물,USD,4950.0
2021-01-11,아프리카,부산,MINDELO,dry,20 feet,일반화물,USD,6600.0
2021-01-11,아프리카,부산,PRAIA,dry,20 feet,일반화물,USD,6600.0
2021-01-11,아프리카,부산,ANNABA (EX BONE),dry,20 feet,일반화물,USD,5275.0
2021-01-11,아프리카,부산,ALGER (ALGIERS),dry,20 feet,일반화물,USD,5275.0
2021-01-11,아프리카,부산,ORAN,dry,20 feet,일반화물,USD,5275.0
2021-01-11,아프리카,부산,SKIKDA (EX PHILIPPEVILLE),dry,20 feet,일반화물,USD,5275.0
2021-01-11,아프리카,부산,LIBREVILLE,dry,20 feet,일반화물,USD,4800.0
2021-01-11,아프리카,부산,TEMA,dry,20 feet,일반화물,USD,5050.0
2021-01-11,아프리카,부산,ABIDJAN,dry,20 feet,일반화물,USD,5150.0
2021-01-11,아프리카,부산,BANJUL,dry,20 feet,일반화물,USD,6400.0
