발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2021-01-01,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,3400.0
2021-01-01,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,3400.0
2021-01-01,중남미,부산,LEON,dry,20 feet,일반화물,USD,5030.0
2021-01-01,중남미,부산,LEON,dry,20 feet,일반화물,USD,4825.0
2021-01-02,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,3400.0
2021-01-02,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,CUERNAVACA,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,REYNOSA,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,CIUDAD JUAREZ,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,QUERETARO,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,SAN LUIS POTOSI,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,MAZATLAN,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,SAN LUIS POTOSI,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,3400.0
2021-01-02,중남미,부산,LEON,dry,20 feet,일반화물,USD,5030.0
2021-01-02,중남미,부산,LEON,dry,20 feet,일반화물,USD,4825.0
2021-01-02,중남미,부산,QUERETARO,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,MONTERREY,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,ENSENADA,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,MEXICALI,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,MONTERREY,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,ENSENADA,dry,20 feet,일반화물,USD,3100.0
2021-01-02,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,3100.0
2021-01-02,중남미,부산,HERMOSILLO,dry,20 feet,일반화물,USD,3100.0
2021-01-02,중남미,부산,ROSARITO TERMINAL,dry,20 feet,일반화물,USD,3100.0
2021-01-02,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,3100.0
2021-01-02,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,ENSENADA,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,MEXICALI,dry,20 feet,일반화물,USD,3000.0
2021-01-02,중남미,부산,TIJUANA,dry,20 feet,일반화물,USD,3100.0
2021-01-04,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,CALLAO,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,BUENAVENTURA,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,MONTEVIDEO,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,SANTOS,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,PORTO DE ITAGUAI,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,SAN ANTONIO,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,NAVEGANTES,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,BUENOS AIRES,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,ITAPOA,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,ITAJAI,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,PARANAGUA,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,RIO GRANDE,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,LIRQUEN,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,RIO DE JANEIRO,dry,20 feet,일반화물,USD,8400.0
2021-01-04,중남미,부산,GUAYAQUIL,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,7200.0
2021-01-04,중남미,부산,ENSENADA,dry,20 feet,일반화물,USD,7200.0
2021-01-05,중남미,부산,MANAUS,dry,20 feet,일반화물,USD,9500.0
2021-01-05,중남미,부산,VITORIA,dry,20 feet,일반화물,USD,9050.0
2021-01-05,중남미,부산,PECEM,dry,20 feet,일반화물,USD,9050.0
2021-01-05,중남미,부산,SANTOS,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,SUAPE,dry,20 feet,일반화물,USD,9050.0
2021-01-05,중남미,부산,PARANAGUA,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,NAVEGANTES,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,MONTEVIDEO,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,ITAPOA,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,BUENOS AIRES,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,RIO DE JANEIRO,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,ROSARIO,dry,20 feet,일반화물,USD,8860.0
2021-01-05,중남미,부산,ZARATE,dry,20 feet,일반화물,USD,8860.0
2021-01-05,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,LAZARO CARDENAS,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,CAUCEDO,dry,20 feet,일반화물,USD,7400.0
2021-01-05,중남미,부산,BUENOS AIRES,dry,20 feet,일반화물,USD,8000.0
2021-01-05,중남미,부산,SANTOS,dry,20 feet,일반화물,USD,8000.0
2021-01-05,중남미,부산,SAN ANTONIO,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,GUAYAQUIL,dry,20 feet,일반화물,USD,6800.0
2021-01-05,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,6800.0
2021-01-05,중남미,부산,IQUIQUE,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,SAN ANTONIO,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,VALPARAISO,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,BUENAVENTURA,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,GUAYAQUIL,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,ENSENADA,dry,20 feet,일반화물,USD,6700.0
2021-01-05,중남미,부산,RIO HAINA,dry,20 feet,일반화물,USD,7400.0
2021-01-05,중남미,부산,RIO GRANDE,dry,20 feet,일반화물,USD,8550.0
2021-01-05,중남미,부산,SALVADOR,dry,20 feet,일반화물,USD,9050.0
2021-01-05,중남미,부산,COLONIA MARIANO ROQUE ALONSO,dry,20 feet,일반화물,USD,9450.0
2021-01-05,중남미,부산,VILLETA,dry,20 feet,일반화물,USD,9450.0
2021-01-05,중남미,부산,TERPORT (SAN ANTONIO),dry,20 feet,일반화물,USD,9450.0
2021-01-05,중남미,부산,VILA DO CONDE,dry,20 feet,일반화물,USD,9500.0
2021-01-05,중남미,부산,ASUNCION,dry,20 feet,일반화물,USD,9450.0
2021-01-11,중남미,부산,MANZANILLO,dry,20 feet,일반화물,USD,6700.0
2021-01-11,중남미,부산,CAUCEDO,dry,20 feet,일반화물,USD,7400.0
