발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,중동,부산,JEBEL ALI,dry,20 feet,일반화물,USD,1100.0
2020-12-01,중동,부산,DAMMAN,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,DJIBOUTI,dry,20 feet,일반화물,USD,1500.0
2020-12-01,중동,부산,SOKHNA PORT,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,JEDDAH,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SOHAR,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,SHUWAIKH,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SHUAIBA,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SHARJAH,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,RIYADH,dry,20 feet,일반화물,USD,1700.0
2020-12-01,중동,부산,HAMAD,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,BAHRAIN,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,AJMAN,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,UMM QASR,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,DAMMAN,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,AQABA (EL AKABA),dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,DJIBOUTI,dry,20 feet,일반화물,USD,1500.0
2020-12-01,중동,부산,UMM QASR,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,JEBEL ALI,dry,20 feet,일반화물,USD,1100.0
2020-12-01,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,BAHRAIN,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,HAMAD,dry,20 feet,일반화물,USD,1400.0
2020-12-01,중동,부산,RIYADH,dry,20 feet,일반화물,USD,1700.0
2020-12-01,중동,부산,AJMAN,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,SHUAIBA,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SHUWAIKH,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SOHAR,dry,20 feet,일반화물,USD,1200.0
2020-12-01,중동,부산,SOKHNA PORT,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,JEDDAH,dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,AQABA (EL AKABA),dry,20 feet,일반화물,USD,1300.0
2020-12-01,중동,부산,SHARJAH,dry,20 feet,일반화물,USD,1200.0
2021-01-01,중동,부산,DJIBOUTI,dry,20 feet,일반화물,USD,1600.0
2021-01-01,중동,부산,JEDDAH,dry,20 feet,일반화물,USD,1800.0
2021-01-01,중동,부산,JEDDAH,dry,20 feet,일반화물,USD,1600.0
2021-01-01,중동,부산,DAMMAN,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,JEBEL ALI,dry,20 feet,일반화물,USD,1000.0
2021-01-01,중동,부산,DAMMAN,dry,20 feet,일반화물,USD,1100.0
2021-01-01,중동,부산,BAHRAIN,dry,20 feet,일반화물,USD,1500.0
2021-01-01,중동,부산,SOKHNA PORT,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,BAHRAIN,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,JEBEL ALI,dry,20 feet,일반화물,USD,1200.0
2021-01-01,중동,부산,AQABA (EL AKABA),dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,HAMAD,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,SOHAR,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,SHUWAIKH,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,SHUAIBA,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,SHARJAH,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,RIYADH,dry,20 feet,일반화물,USD,1700.0
2021-01-01,중동,부산,BAHRAIN,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,AJMAN,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1400.0
2021-01-01,중동,부산,UMM QASR,dry,20 feet,일반화물,USD,1500.0
2021-01-01,중동,부산,DAMMAN,dry,20 feet,일반화물,USD,1500.0
2021-01-01,중동,부산,JEBEL ALI,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,JEDDAH,dry,20 feet,일반화물,USD,1300.0
2021-01-01,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1100.0
2021-01-05,중동,부산,ABU DHABI,dry,20 feet,일반화물,USD,1475.0
2021-01-05,중동,부산,ADEN,dry,20 feet,일반화물,USD,3550.0
2021-01-05,중동,부산,SALALAH,dry,20 feet,일반화물,USD,3200.0
2021-01-05,중동,부산,AQABA (EL AKABA),dry,20 feet,일반화물,USD,3200.0
2021-01-05,중동,부산,SOHAR,dry,20 feet,일반화물,USD,1775.0
2021-01-05,중동,부산,AD DAMMAM,dry,20 feet,일반화물,USD,1700.0
2021-01-05,중동,부산,SHUWAIKH,dry,20 feet,일반화물,USD,1175.0
