발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2021-01-05,지중해,부산,POTI,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,VOLOS,dry,20 feet,일반화물,USD,3700.0
2021-01-05,지중해,부산,THESSALONIKI,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,PIRAEUS,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,BATUMI,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,EL DEKHEILA,dry,20 feet,일반화물,USD,3700.0
2021-01-05,지중해,부산,EL ISKANDARIYA (ALEXANDRIA),dry,20 feet,일반화물,USD,3700.0
2021-01-05,지중해,부산,DAMIETTA,dry,20 feet,일반화물,USD,3700.0
2021-01-05,지중해,부산,PORT SAID EAST,dry,20 feet,일반화물,USD,3700.0
2021-01-05,지중해,부산,LIMASSOL,dry,20 feet,일반화물,USD,3650.0
2021-01-05,지중해,부산,VARNA,dry,20 feet,일반화물,USD,3500.0
2021-01-05,지중해,부산,BURGAS,dry,20 feet,일반화물,USD,3500.0
2021-01-05,지중해,부산,DURRES (DURAZZO),dry,20 feet,일반화물,USD,3750.0
2021-01-05,지중해,부산,BAR,dry,20 feet,일반화물,USD,3750.0
2021-01-05,지중해,부산,PLOCE,dry,20 feet,일반화물,USD,3750.0
2021-01-05,지중해,부산,KOPER,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,SINES,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,LEIXOES,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,LANZAROTE,dry,20 feet,일반화물,USD,4125.0
2021-01-05,지중해,부산,PALERMO,dry,20 feet,일반화물,USD,3750.0
2021-01-05,지중해,부산,HERAKLION (IRAKLION),dry,20 feet,일반화물,USD,3800.0
2021-01-05,지중해,부산,HAIFA,dry,20 feet,일반화물,USD,4375.0
2021-01-05,지중해,부산,ASHDOD,dry,20 feet,일반화물,USD,4450.0
2021-01-05,지중해,부산,BEIRUT,dry,20 feet,일반화물,USD,3475.0
2021-01-05,지중해,부산,SOKHNA PORT,dry,20 feet,일반화물,USD,3200.0
2021-01-05,지중해,부산,ODESSA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,CHORNOMORSK,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,TRABZON,dry,20 feet,일반화물,USD,3800.0
2021-01-05,지중해,부산,SAMSUN,dry,20 feet,일반화물,USD,3800.0
2021-01-05,지중해,부산,ANTALYA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,"MERSIN, ICEL",dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,IZMIR,dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,"ALIAGA, IZMIR",dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,VENEZIA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,"ISKENDERUN, HATAY",dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,GEBZE,dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,EVYAP,dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,"YARIMCA, KOCAELI",dry,20 feet,일반화물,USD,3550.0
2021-01-05,지중해,부산,TEKIRDAG,dry,20 feet,일반화물,USD,3550.0
2021-01-05,지중해,부산,ISTANBUL,dry,20 feet,일반화물,USD,3550.0
2021-01-05,지중해,부산,TARTOUS,dry,20 feet,일반화물,EUR,3690.0
2021-01-05,지중해,부산,LATAKIA,dry,20 feet,일반화물,EUR,3690.0
2021-01-05,지중해,부산,NOVOROSSIYSK,dry,20 feet,일반화물,USD,3650.0
2021-01-05,지중해,부산,CONSTANTA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,"GEMLIK, BURSA",dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,TRIESTE,dry,20 feet,일반화물,USD,3575.0
2021-01-05,지중해,부산,PUERTO DEL ROSARIO-FUERTEVENTU,dry,20 feet,일반화물,USD,4125.0
2021-01-05,지중해,부산,RAVENNA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,BARCELONA,dry,20 feet,일반화물,USD,3525.0
2021-01-05,지중해,부산,LA SPEZIA,dry,20 feet,일반화물,USD,3525.0
2021-01-05,지중해,부산,VIGO,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,VALENCIA,dry,20 feet,일반화물,USD,3525.0
2021-01-05,지중해,부산,ALGECIRAS,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,NADOR,dry,20 feet,일반화물,USD,4085.0
2021-01-05,지중해,부산,ALICANTE,dry,20 feet,일반화물,USD,3825.0
2021-01-05,지중해,부산,MALAGA,dry,20 feet,일반화물,USD,3895.0
2021-01-05,지중해,부산,GIJON,dry,20 feet,일반화물,USD,3625.0
2021-01-05,지중해,부산,CARTAGENA,dry,20 feet,일반화물,USD,3885.0
2021-01-05,지중해,부산,TARRAGONA,dry,20 feet,일반화물,USD,3975.0
2021-01-05,지중해,부산,LAS PALMAS DE GRAN CANARIA,dry,20 feet,일반화물,USD,3725.0
2021-01-05,지중해,부산,SANTA CRUZ DE TENERIFE,dry,20 feet,일반화물,USD,3725.0
2021-01-05,지중해,부산,BILBAO,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,MARSAXLOKK,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,ANCONA,dry,20 feet,일반화물,USD,3650.0
2021-01-05,지중해,부산,BARI,dry,20 feet,일반화물,USD,3650.0
2021-01-05,지중해,부산,CIVITAVECCHIA,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,LIVORNO,dry,20 feet,일반화물,USD,3600.0
2021-01-05,지중해,부산,GIOIA TAURO,dry,20 feet,일반화물,USD,3600.0
