발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,한중,부산,HUANGPU PT,dry,20 feet,일반화물,USD,450.0
2020-12-01,한중,부산,XIAMEN,dry,20 feet,일반화물,USD,450.0
2020-12-01,한중,부산,FUZHOU,dry,20 feet,일반화물,USD,500.0
2020-12-01,한중,부산,SANSHUI,dry,20 feet,일반화물,USD,450.0
2020-12-01,한중,부산,NANSHA PT,dry,20 feet,일반화물,USD,450.0
2021-01-01,한중,부산,BEIJIAO,dry,20 feet,일반화물,USD,500.0
2021-01-01,한중,부산,ZHAOQING PT,dry,20 feet,일반화물,USD,500.0
2021-01-01,한중,부산,ZHONGSHAN PT,dry,20 feet,일반화물,USD,500.0
2021-01-01,한중,부산,HONG KONG,dry,20 feet,일반화물,USD,250.0
2021-01-01,한중,부산,MACAU,dry,20 feet,일반화물,USD,500.0
2021-01-01,한중,부산,NINGBO,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,NINGBO,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,ZHANJIANG,dry,20 feet,일반화물,USD,500.0
2021-01-01,한중,부산,NINGBO,dry,20 feet,일반화물,USD,400.0
2021-01-01,한중,부산,SHANGHAI,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,SHANGHAI,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,SHIDAO PT,dry,20 feet,일반화물,USD,180.0
2021-01-01,한중,부산,HONG KONG,dry,20 feet,일반화물,USD,200.0
2021-01-01,한중,부산,SHANGHAI,dry,20 feet,일반화물,USD,400.0
2021-01-01,한중,부산,QINGDAO,dry,20 feet,일반화물,USD,390.0
2021-01-01,한중,부산,DALIAN,dry,20 feet,일반화물,USD,410.0
2021-01-01,한중,부산,HUANGPU PT,dry,20 feet,일반화물,USD,550.0
2021-01-01,한중,부산,XIAMEN,dry,20 feet,일반화물,USD,460.0
2021-01-01,한중,부산,YANTIAN PT,dry,20 feet,일반화물,USD,410.0
2021-01-01,한중,부산,LIANYUNGANG,dry,20 feet,일반화물,USD,580.0
2021-01-01,한중,부산,QINGDAO,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,YANTIAN PT,dry,20 feet,일반화물,USD,350.0
2021-01-01,한중,부산,QINGDAO,dry,20 feet,일반화물,USD,1.0
2021-01-01,한중,부산,YANGPU PT,dry,20 feet,일반화물,USD,500.0
