발효일,항로,선적지,양륙지,컨테이너 종류,컨테이너 크기,화물품목,OF 화폐,OF 금액
2020-12-01,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2250.0
2020-12-01,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2150.0
2020-12-01,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2150.0
2020-12-01,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2150.0
2020-12-01,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2250.0
2020-12-01,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2150.0
2021-01-01,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2200.0
2021-01-01,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2400.0
2021-01-01,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2200.0
2021-01-05,호주,부산,BLUFF,dry,20 feet,일반화물,USD,2800.0
2021-01-05,호주,부산,NELSON,dry,20 feet,일반화물,USD,2750.0
2021-01-05,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,2650.0
2021-01-05,호주,부산,NAPIER,dry,20 feet,일반화물,USD,2650.0
2021-01-05,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,2650.0
2021-01-05,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,2650.0
2021-01-05,호주,부산,WELLINGTON,dry,20 feet,일반화물,USD,2650.0
2021-01-05,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2400.0
2021-01-05,호주,부산,FREMANTLE,dry,20 feet,일반화물,USD,1900.0
2021-01-05,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2400.0
2021-01-05,호주,부산,ADELAIDE,dry,20 feet,일반화물,USD,1900.0
2021-01-05,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2700.0
2021-01-06,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,3000.0
2021-01-06,호주,부산,NAPIER,dry,20 feet,일반화물,USD,3000.0
2021-01-06,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,3000.0
2021-01-06,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2600.0
2021-01-06,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,3000.0
2021-01-06,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2400.0
2021-01-06,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2400.0
2021-01-11,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2400.0
2021-01-11,호주,부산,WELLINGTON,dry,20 feet,일반화물,USD,2650.0
2021-01-11,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,2650.0
2021-01-11,호주,부산,NELSON,dry,20 feet,일반화물,USD,2750.0
2021-01-11,호주,부산,NAPIER,dry,20 feet,일반화물,USD,2650.0
2021-01-11,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,2650.0
2021-01-11,호주,부산,BLUFF,dry,20 feet,일반화물,USD,2800.0
2021-01-11,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,2650.0
2021-01-11,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2700.0
2021-01-11,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2400.0
2021-01-11,호주,부산,FREMANTLE,dry,20 feet,일반화물,USD,2400.0
2021-01-11,호주,부산,ADELAIDE,dry,20 feet,일반화물,USD,1900.0
2021-01-15,호주,부산,FREMANTLE,dry,20 feet,일반화물,USD,2100.0
2021-01-15,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2600.0
2021-01-15,호주,부산,ADELAIDE,dry,20 feet,일반화물,USD,2100.0
2021-01-15,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,3150.0
2021-01-15,호주,부산,BLUFF,dry,20 feet,일반화물,USD,3000.0
2021-01-15,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,2850.0
2021-01-15,호주,부산,NAPIER,dry,20 feet,일반화물,USD,2850.0
2021-01-15,호주,부산,NELSON,dry,20 feet,일반화물,USD,2950.0
2021-01-15,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,2850.0
2021-01-15,호주,부산,WELLINGTON,dry,20 feet,일반화물,USD,2850.0
2021-01-15,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2600.0
2021-01-15,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2900.0
2021-01-18,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2172.0
2021-01-18,호주,부산,WELLINGTON,dry,20 feet,일반화물,USD,2850.0
2021-01-18,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,2850.0
2021-01-18,호주,부산,NELSON,dry,20 feet,일반화물,USD,2950.0
2021-01-18,호주,부산,NAPIER,dry,20 feet,일반화물,USD,2850.0
2021-01-18,호주,부산,MELBOURNE,dry,20 feet,일반화물,USD,2600.0
2021-01-18,호주,부산,BLUFF,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,3150.0
2021-01-18,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2900.0
2021-01-18,호주,부산,FREMANTLE,dry,20 feet,일반화물,USD,2100.0
2021-01-18,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2600.0
2021-01-18,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,2850.0
2021-01-18,호주,부산,ADELAIDE,dry,20 feet,일반화물,USD,2100.0
2021-01-18,호주,부산,ADELAIDE,dry,20 feet,일반화물,USD,1850.0
2021-01-18,호주,부산,BRISBANE,dry,20 feet,일반화물,USD,2172.0
2021-01-18,호주,부산,AUCKLAND,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,LYTTELTON,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,NAPIER,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,NELSON,dry,20 feet,일반화물,USD,3450.0
2021-01-18,호주,부산,PORT CHALMERS,dry,20 feet,일반화물,USD,2875.0
2021-01-18,호주,부산,TIMARU,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,TAURANGA,dry,20 feet,일반화물,USD,3000.0
2021-01-18,호주,부산,SYDNEY,dry,20 feet,일반화물,USD,2325.0
2021-01-18,호주,부산,FREMANTLE,dry,20 feet,일반화물,USD,1850.0
